English,Kana,Type
fish,さかな,food
meat,にく,food
vegetable,やさい,food
umbrella,かさ,item
bag,かばん,item
shoes,くつ,item
wallet,さいふ,item
jeans,ジーンズ,item
bicycle,じてんしゃ,vehicle
newspaper,しんぶん,item
smartphone,スマホ,item
T-shirt,Tシャツ,clothes
watch,とけい,item
notebook,ノート,item
pen,ペン,item
hat,ぼうし,clothes
book,ほん,item
movie,えいが,item
music,おんがく,item
magazine,ざっし,item
TV,テレビ,item
ice cream,アイスクリーム,food
hamburger,ハンバーガー,food
tea,おちゃ,drink
coffee,コーヒー,drink
water,みず,drink
dog,いぬ,animal
cat,ねこ,animal
chair,いす,item
desk,つくえ,item
picture,しゃしん,item
flower,はな,item
rice,ごはん,food
bread,ぱん,food
fruit,くだもの,food
money,おかね,item
baggage,にもつ,item
PC,パソコン,item
window,まど,item
train,でんしゃ,vehicle
car,くるま,vehicle
camera,カメラ,item
tomato,トマト,food
chopsticks,はし,item
bath,おふろ,item
shower,シャワー,item
letter,てがみ,item
guitar,ギター,item
piano,ピアノ,item
ticket,チケット,item
ski,スキー,sport
pizza,ピザ,food
medicine,くすり,item
blue,あおい,color
red,あかい,color
black,くろい,color
white,しろい,color
milk,ぎゅうにゅう,drink
cake,ケーキ,food
sushi,すし,food
apple,りんご,food
soccer,サッカー,sport
baseball,やきゅう,sport
tenis,テニス,sport
face,かお,body
ship/boat,ふね,vehicle
airplane,ひこうき,vehicle
gloves,てぶくろ,clothes
mountain,やま,item
snack,おかし,food
beer,ビール,drink
toy,おもちゃ,item
eye,め,body
mouth,くち,body
leg,あし,body
tooth,は,body
egg,たまご,food
clothes,ふく,clothes
on,うえ,location
under,した,location
left,ひだり,location
right,みぎ,location
front,まえ,location
back,うしろ,location
inside,なか,location
next,となり,location
between,あいだ,location
near,ちかく,location
